Fold,HeldOutSite,N_train,N_test,N_test_reference_classes,ARI_LOSOKMeans_vsFullSample,NMI_LOSOKMeans_vsFullSample,MatchedAccuracy_LOSOKMeans_vsFullSample
1,1,548,6,3,1.0,1.0,1.0
2,2,542,12,3,1.0,1.0,1.0
3,3,548,6,3,1.0,1.0,1.0
4,4,535,19,3,1.0,1.0,1.0
5,5,548,6,2,1.0,1.0,1.0
6,6,546,8,3,0.4782608695652174,0.7154079859192822,0.75
7,7,543,11,3,0.7836349331235248,0.8202432449902114,0.9090909090909091
8,8,548,6,3,1.0,1.0,1.0
9,9,543,11,3,1.0,1.0,1.0
10,10,528,26,3,0.9108819000611699,0.8929388850690955,0.9615384615384616
11,11,507,47,3,0.8745078517445807,0.8556497126070971,0.9574468085106383
12,12,547,7,3,1.0,1.0,1.0
13,13,453,101,3,0.9122154882817027,0.8767646764951156,0.9702970297029703
14,14,500,54,3,0.9446472442981191,0.9339716966437428,0.9814814814814815
15,15,547,7,3,1.0,1.0,1.0
16,16,541,13,3,0.7039337474120083,0.762992502467258,0.9230769230769231
17,17,551,3,2,1.0,1.0,1.0
18,18,522,32,3,1.0,1.0,1.0
19,19,549,5,3,1.0,1.0,1.0
20,20,522,32,3,1.0,1.0,1.0
21,21,503,51,3,0.8267511553286381,0.811786549455251,0.9411764705882353
22,22,524,30,3,1.0,1.0,1.0
23,23,546,8,3,1.0,1.0,1.0
24,24,514,40,3,1.0,1.0,1.0
25,25,541,13,3,1.0,1.0,1.0
