Scale,Statistic,Dependent_variables,N,Value,F,Num_df,Den_df,p
ADOS,Wilks' lambda,"ADOS_COMM, ADOS_SOCIAL, ADOS_STEREO_BEHAV",325,0.9589930601421293,2.242579453831452,6.0,636.0,0.037706121504750736
ADOS,Pillai's trace,"ADOS_COMM, ADOS_SOCIAL, ADOS_STEREO_BEHAV",325,0.041302027162145684,2.2421947040726256,6.0,638.0,0.037733662581313374
ADOS,Hotelling-Lawley trace,"ADOS_COMM, ADOS_SOCIAL, ADOS_STEREO_BEHAV",325,0.04245270820579479,2.2464837533440325,6.0,422.22689075630234,0.03807325148481494
ADOS,Roy's greatest root,"ADOS_COMM, ADOS_SOCIAL, ADOS_STEREO_BEHAV",325,0.03317845638902745,3.5279758626999187,3.0,319.0,0.015254605757650965
SRS,Wilks' lambda,"SRS_RAW_TOTAL, SRS_AWARENESS, SRS_COGNITION, SRS_COMMUNICATION, SRS_MOTIVATION, SRS_MANNERISMS",189,0.951378733741829,0.7528340520922508,12.0,358.0,0.6990089885262933
SRS,Pillai's trace,"SRS_RAW_TOTAL, SRS_AWARENESS, SRS_COGNITION, SRS_COMMUNICATION, SRS_MOTIVATION, SRS_MANNERISMS",189,0.04906132477870452,0.7544264522790213,12.0,360.0,0.6973955539922201
SRS,Hotelling-Lawley trace,"SRS_RAW_TOTAL, SRS_AWARENESS, SRS_COGNITION, SRS_COMMUNICATION, SRS_MOTIVATION, SRS_MANNERISMS",189,0.05064356184223068,0.7524574984863907,12.0,275.3752333540759,0.6990971466586757
SRS,Roy's greatest root,"SRS_RAW_TOTAL, SRS_AWARENESS, SRS_COGNITION, SRS_COMMUNICATION, SRS_MOTIVATION, SRS_MANNERISMS",189,0.03868757267873789,1.1606271803621366,6.0,180.0,0.329455097368141
ADI-R,Wilks' lambda,"ADI_RRB_TOTAL_C, ADI_R_SOCIAL_TOTAL_A",369,0.9844106555023825,1.4314919433565805,4.0,726.0,0.22176671958834826
ADI-R,Pillai's trace,"ADI_RRB_TOTAL_C, ADI_R_SOCIAL_TOTAL_A",369,0.0156038112216945,1.4311122236617382,4.0,728.0,0.2218874017771837
ADI-R,Hotelling-Lawley trace,"ADI_RRB_TOTAL_C, ADI_R_SOCIAL_TOTAL_A",369,0.015821524976882793,1.4344946526044866,4.0,434.5621203754803,0.22158907803046135
ADI-R,Roy's greatest root,"ADI_RRB_TOTAL_C, ADI_R_SOCIAL_TOTAL_A",369,0.014830613703229951,2.699171693987851,2.0,364.0,0.068607582111457
